class_uri,class_curie,class_label,count
https://w3id.org/polifonia/ontology/music-meta/Recording,mm:Recording,mm:Recording,696
https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,mm:MusicEnsembleMembership,mm:MusicEnsembleMembership,444
https://w3id.org/polifonia/ontology/core/TimeInterval,core:TimeInterval,core:TimeInterval,364
http://schema.org/Person,schema:Person,schema:Person,363
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,363
https://w3id.org/polifonia/ontology/core/Role,core:Role,core:Role,330
https://w3id.org/polifonia/ontology/music-meta/Release,mm:Release,mm:Release,300
http://schema.org/ListItem,schema:ListItem,schema:ListItem,239
https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,238
http://schema.org/ItemList,schema:ItemList,schema:ItemList,132
http://schema.org/PropertyValue,schema:PropertyValue,schema:PropertyValue,99
https://w3id.org/polifonia/ontology/music-meta/MusicGenre,mm:MusicGenre,mm:MusicGenre,85
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,52
http://schema.org/MusicAlbum,schema:MusicAlbum,schema:MusicAlbum,39
http://schema.org/VideoObject,schema:VideoObject,schema:VideoObject,33
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,31
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,31
http://wembrewind.live/ex#MusicInstrument,ex:MusicInstrument,ex:MusicInstrument,15
http://schema.org/CreativeWork,schema:CreativeWork,schema:CreativeWork,14
http://schema.org/Organization,schema:Organization,schema:Organization,11
http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,http://www.w3.org/ns/oa#Annotation,11
http://www.w3.org/2004/02/skos/core#Concept,skos:Concept,skos:Concept,9
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,6
http://schema.org/Review,schema:Review,schema:Review,5
http://schema.org/BroadcastEvent,schema:BroadcastEvent,schema:BroadcastEvent,4
http://schema.org/DefinedTerm,schema:DefinedTerm,schema:DefinedTerm,4
http://schema.org/Place,schema:Place,schema:Place,4
http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,4
http://schema.org/City,schema:City,schema:City,3
http://schema.org/MonetaryAmount,schema:MonetaryAmount,schema:MonetaryAmount,3
http://schema.org/StadiumOrArena,schema:StadiumOrArena,schema:StadiumOrArena,3
http://schema.org/Collection,schema:Collection,schema:Collection,2
http://schema.org/Country,schema:Country,schema:Country,2
http://schema.org/MusicVenue,schema:MusicVenue,schema:MusicVenue,2
http://www.w3.org/ns/oa#SpecificResource,http://www.w3.org/ns/oa#SpecificResource,http://www.w3.org/ns/oa#SpecificResource,2
http://schema.org/Audience,schema:Audience,schema:Audience,1
http://schema.org/Event,schema:Event,schema:Event,1
http://schema.org/Schedule,schema:Schedule,schema:Schedule,1
http://wembrewind.live/ex#MedicalEvent,ex:MedicalEvent,ex:MedicalEvent,1
http://www.w3.org/2004/02/skos/core#ConceptScheme,skos:ConceptScheme,skos:ConceptScheme,1
